condition,in_scope,decided_on,arms_affected,rationale
endometriosis,yes,2026-08-28,transcriptomics;metabolomics,"Chronic pelvic pain is a defining feature and the usual reason for presentation. Already included in the metabolomic arm as ST003984 (plasma, 73 v 35). Confirmed in scope on 2026-08-28 for the transcriptomic arm, where it is 101 of the 165 candidates the search amendment surfaced. Most are disease-tissue comparisons in which pain is a symptom rather than the measured contrast; that is a limitation to state, not a reason to exclude, since the same is true of the osteoarthritis and irritable-bowel studies already pooled."
irritable bowel syndrome,yes,2026-08-15,transcriptomics;metabolomics,Visceral pain condition. Pooled in the metabolomic arm as MTBLS2774 and ST003954.
interstitial cystitis,yes,2026-08-27,metabolomics,Bladder pain syndrome. Pooled as ST000603.
knee osteoarthritis,yes,2026-08-15,metabolomics,Pooled as MTBLS5667.
diabetic peripheral neuropathy,yes,2026-08-27,metabolomics,Pooled as ST000676 and ST001412.
fibromyalgia,yes,2026-08-28,transcriptomics,Nociplastic pain condition already named in the manuscript's strata.
rheumatoid arthritis,yes,2026-08-30,metabolomics,"In scope from 2026-08-30, reversing the 2026-08-27 exclusion. That exclusion was recorded as a scope decision rather than an evidence one, and it sat inconsistently beside knee osteoarthritis and endometriosis being in scope: RA is a chronic inflammatory arthropathy whose defining presentation is joint pain, on the same footing as the OA study already pooled. ST001949 (plasma, RA 20 v Control 20; the RA+MTX arm is a treatment arm and is excluded) and ST003177 (plasma, RA 210 v health 219 subjects) are admitted. ST000218 is not, and now carries an evidence reason rather than a scope one: it is a faecal short-chain fatty-acid panel of 8 metabolites, a different compartment and analyte class from the plasma, serum and urine metabolome the other units measure."
juvenile idiopathic arthritis,yes,2026-08-30,metabolomics,"In scope from 2026-08-30, on the same reasoning as rheumatoid arthritis. Chronic arthritis of childhood; joint pain is the presenting symptom. ST003520 is admitted (EDTA plasma, JIA 112 v Healthy_Control 72 subjects; the Crohn's disease arm is a third condition and is excluded)."
traumatic optic neuropathy,no,2026-08-27,metabolomics;lipidomics,"Excluded on evidence: the abstracts describe vision loss and retinal ganglion cell death with no pain measure (ST001327, ST001273)."
amendment-retrieved human conditions,yes,2026-08-28,transcriptomics,"The 46 studies the search amendment contributed enter as their own strata rather than joining the existing human strata: endometriosis_human (29), neuropathy_human (9), fibromyalgia_human (2), ibs_human (2) and other_human_amendment (4). Assignment is by condition, declared in conf/analysis/study_strata.csv. Merging them into the existing strata would pool endometrial tissue and blood with DRG and spinal cord, which is exactly what the arm's own model-specificity result argues against; keeping them separate also means the amendment cannot change any existing stratum's numbers."
uterine fibroids and adenomyosis,yes,2026-08-31,transcriptomics,"Both usually present with persistent pelvic pain, which is the phenotype the endometriosis stratum is about. Neither was retrieved as a condition in its own right: they enter inside the case arms of two studies already pooled there, GSE130435 (endometriosis, fibroids, and fibroids with adenomyosis, all case, against healthy controls) and GSE193928 (adenomyosis, deep infiltrating endometriosis and ovarian endometrioma, all case). The 2026-08-31 contrast audit flagged both as arms_merge_levels_of_disease_state, which is what they are; the merge widens the case arm within one pelvic-pain phenotype rather than substituting a different one. Kept, and stated in the Results as a composition caveat rather than silently pooled."
